BufferSize,Items,VariantA_avg,VariantA_std,VariantB_avg,VariantB_std,BlockingQ_avg,BlockingQ_std
3,100,1.00,0.00,1.10,0.30,4.40,0.80
3,1000,12.30,1.27,14.10,0.30,8.30,0.64
3,10000,115.70,4.54,129.90,2.07,39.80,1.54
3,50000,637.90,104.56,923.30,15.76,258.00,3.61
5,100,1.50,0.50,2.00,0.00,0.00,0.00
5,1000,15.60,0.49,20.10,2.98,3.00,0.00
5,10000,157.20,1.89,187.60,1.69,31.80,1.60
5,50000,760.10,7.08,955.60,17.47,156.00,2.41
10,100,2.00,0.00,2.50,0.50,0.00,0.00
10,1000,15.90,0.30,19.90,0.30,1.00,0.00
10,10000,154.00,4.05,195.30,0.78,16.10,0.83
10,50000,761.10,15.80,983.80,14.86,74.30,4.03
20,100,3.00,0.00,3.00,0.00,0.00,0.00
20,1000,16.70,0.46,20.50,0.50,0.20,0.40
20,10000,155.20,2.44,198.80,6.71,18.20,25.10
20,50000,775.30,11.33,1007.00,18.11,36.50,1.69
